company_id,type,rule_id,text,confidence_pct
ABB,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
ABB,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,81
ABB,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,63
ABB,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
ABB,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,73
ABB,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ADANIENSOL,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
ADANIENSOL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,65
ADANIENSOL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,78
ADANIENT,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
ADANIENT,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,68
ADANIENT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
ADANIENT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93
ADANIENT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ADANIGREEN,con,CON_01,Debt-to-equity ratio of 6.38 is elevated for a non-financial company and warrants monitoring.,68
ADANIGREEN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,99
ADANIGREEN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIPORTS,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
ADANIPORTS,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69
ADANIPORTS,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
ADANIPORTS,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ADANIPOWER,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
ADANIPOWER,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,86
ADANIPOWER,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
ADANIPOWER,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,62
ADANIPOWER,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82
ADANIPOWER,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
AMBUJACEM,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
AMBUJACEM,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,96
APOLLOHOSP,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
APOLLOHOSP,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
APOLLOHOSP,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,92
APOLLOHOSP,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,89
ASIANPAINT,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
ASIANPAINT,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,72
ASIANPAINT,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
ASIANPAINT,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,60
ASIANPAINT,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
ASIANPAINT,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
ASIANPAINT,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
ATGL,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
ATGL,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72
ATGL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67
ATGL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,61
ATGL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,79
AXISBANK,con,CON_01,Debt-to-equity ratio of 8.25 is elevated for a non-financial company and warrants monitoring.,72
AXISBANK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,79
AXISBANK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,99
AXISBANK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BAJAJ-AUTO,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
BAJAJ-AUTO,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,64
BAJAJ-AUTO,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
BAJAJ-AUTO,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJAJFINSV,con,CON_01,Debt-to-equity ratio of 4.66 is elevated for a non-financial company and warrants monitoring.,65
BAJAJFINSV,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,95
BAJAJFINSV,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,66
BAJAJFINSV,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,71
BAJAJFINSV,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
BAJAJFINSV,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,67
BAJAJFINSV,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,71
BAJAJHLDNG,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
BAJAJHLDNG,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,93
BAJAJHLDNG,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BAJAJHLDNG,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJAJHLDNG,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,67
BAJAJHLDNG,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
BAJFINANCE,con,CON_01,Debt-to-equity ratio of 3.74 is elevated for a non-financial company and warrants monitoring.,63
BAJFINANCE,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,95
BAJFINANCE,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
BAJFINANCE,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,78
BAJFINANCE,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,68
BAJFINANCE,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,78
BAJFINANCE,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJFINANCE,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,85
BANKBARODA,con,CON_01,Debt-to-equity ratio of 12.14 is elevated for a non-financial company and warrants monitoring.,80
BANKBARODA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
BANKBARODA,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,64
BANKBARODA,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,84
BANKBARODA,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
BANKBARODA,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BANKBARODA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
BEL,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
BEL,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BEL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BEL,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
BHARTIARTL,con,CON_01,Debt-to-equity ratio of 2.59 is elevated for a non-financial company and warrants monitoring.,61
BHARTIARTL,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100
BHARTIARTL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,96
BHARTIARTL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BHEL,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
BHEL,pro,PRO_DEFAULT,Business exhibits stable operating performance based on the available financial metrics.,65
BOSCHLTD,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
BOSCHLTD,pro,PRO_02,Strong free cash flow generation over 5 years signals healthy business fundamentals,95
BOSCHLTD,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BOSCHLTD,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
BPCL,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
BPCL,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71
BPCL,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,62
BPCL,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86
BRITANNIA,con,CON_DEFAULT,No significant financial weaknesses were detected by the automated rule engine. Investors should continue monitoring future financial performance.,65
BRITANNIA,pro,PRO_01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
BRITANNIA,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,81
BRITANNIA,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
CANBK,con,CON_01,Debt-to-equity ratio of 14.87 is elevated for a non-financial company and warrants monitoring.,85
CANBK,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
CANBK,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,66
CANBK,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,93
CANBK,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100
CANBK,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
CANBK,pro,PRO_10,Return on equity improving for 3 consecutive years shows strengthening business quality,85
CHOLAFIN,con,CON_01,Debt-to-equity ratio of 7.38 is elevated for a non-financial company and warrants monitoring.,70
CHOLAFIN,con,CON_02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality.,95
CHOLAFIN,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
CHOLAFIN,pro,PRO_04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
CHOLAFIN,pro,PRO_05,Operating profit margin above 25% indicates strong pricing power and cost discipline,66
CHOLAFIN,pro,PRO_06,Net profit compounding at above 20% over 5 years creates significant shareholder value,66
CHOLAFIN,pro,PRO_07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,82
CHOLAFIN,pro,PRO_09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74
CIPLA,con,CON_03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure.,85
